"FRANCHISE_NAME","START_YEAR","END_YEAR","ACTIVE"
"Atlanta Hawks","1949","","Y"
"St. Louis Hawks","1955","1967","N"
"Milwaukee Hawks","1951","1954","N"
"Tri-Cities Blackhawks","1949","1950","N"
"Boston Celtics","1946","","Y"
"Brooklyn Nets","1976","","Y"
"New Jersey Nets","1977","2011","N"
"New York Nets","1976","1976","N"
"Charlotte Hornets","1988","","Y"
"Charlotte Bobcats","2004","2013","N"
"Chicago Bulls","1966","","Y"
"Cleveland Cavaliers","1970","","Y"
"Dallas Mavericks","1980","","Y"
"Denver Nuggets","1976","","Y"
"Detroit Pistons","1948","","Y"
"Ft. Wayne Zollner Pistons","1948","1956","N"
"Golden State Warriors","1946","","Y"
"San Francisco Warriors","1962","1970","N"
"Philadelphia Warriors","1946","1961","N"
"Houston Rockets","1967","","Y"
"San Diego Rockets","1967","1970","N"
"Indiana Pacers","1976","","Y"
"LA Clippers","1970","","Y"
"Los Angeles Clippers","1984","2014","N"
"San Diego Clippers","1978","1983","N"
"Buffalo Braves","1970","1977","N"
"Los Angeles Lakers","1948","","Y"
"Minneapolis Lakers","1948","1959","N"
"Memphis Grizzlies","1995","","Y"
"Vancouver Grizzlies","1995","2000","N"
"Miami Heat","1988","","Y"
"Milwaukee Bucks","1968","","Y"
"Minnesota Timberwolves","1989","","Y"
"New Orleans Pelicans","2002","","Y"
"New Orleans Hornets","2002","2012","N"
"New Orleans/Oklahoma City Hornets","2005","2006","N"
"New York Knicks","1946","","Y"
"Oklahoma City Thunder","1967","","Y"
"Seattle SuperSonics","1967","2007","N"
"Orlando Magic","1989","","Y"
"Philadelphia 76ers","1949","","Y"
"Syracuse Nationals","1949","1962","N"
"Phoenix Suns","1968","","Y"
"Portland Trail Blazers","1970","","Y"
"Sacramento Kings","1948","","Y"
"Kansas City Kings","1975","1984","N"
"Kansas City-Omaha Kings","1972","1974","N"
"Cincinnati Royals","1957","1971","N"
"Rochester Royals","1948","1956","N"
"San Antonio Spurs","1976","","Y"
"Toronto Raptors","1995","","Y"
"Utah Jazz","1974","","Y"
"New Orleans Jazz","1974","1978","N"
"Washington Wizards","1961","","Y"
"Washington Bullets","1974","1996","N"
"Capital Bullets","1973","1973","N"
"Baltimore Bullets","1963","1972","N"
"Chicago Zephyrs","1962","1962","N"
"Chicago Packers","1961","1961","N"
"Anderson Packers","1949","1949","N"
"Baltimore Bullets","1947","1953","N"
"Chicago Stags","1946","1949","N"
"Cleveland Rebels","1946","1946","N"
"Denver Nuggets","1949","1949","N"
"Detroit Falcons","1946","1946","N"
"Indianapolis Jets","1948","1948","N"
"Indianapolis Olympians","1949","1952","N"
"Pittsburgh Ironmen","1946","1946","N"
"Providence Steamrollers","1946","1948","N"
"Sheboygan Redskins","1949","1949","N"
"St. Louis Bombers","1946","1949","N"
"Toronto Huskies","1946","1946","N"
"Washington Capitols","1946","1950","N"
"Waterloo Hawks","1949","1949","N"
