"FRANCHISE_NAME","CITY","ABBREV"
"Atlanta Hawks","Atlanta","ATL"
"Boston Celtics","Boston","BOS"
"Brooklyn Nets","Brooklyn","BKN"
"Charlotte Bobcats","Charlotte","CHA"
"Charlotte Hornets","Charlotte","CHA"
"Chicago Bulls","Chicago","CHI"
"Cleveland Cavaliers","Cleveland","CLE"
"Dallas Mavericks","Dallas","DAL"
"Denver Nuggets","Denver","DEN"
"Detroit Pistons","Detroit","DET"
"Golden State Warriors","Golden State","GSW"
"Houston Rockets","Houston","HOU"
"Indiana Pacers","Indiana","IND"
"Los Angeles Clippers","LA Clippers","LAC"
"Los Angeles Lakers","LA Lakers","LAL"
"Memphis Grizzlies","Memphis","MEM"
"Miami Heat","Miami","MIA"
"Milwaukee Bucks","Milwaukee","MIL"
"Minnesota Timberwolves","Minnesota","MIN"
"New Jersey Nets","New Jersey","NJN"
"New Orleans Hornets","New Orleans","NOH"
"New Orleans Pelicans","New Orleans","NOP"
"New York Knicks","New York","NYK"
"Oklahoma City Thunder","Oklahoma City","OKC"
"Orlando Magic","Orlando","ORL"
"Philadelphia 76ers","Philadelphia","PHI"
"Phoenix Suns","Phoenix","PHX"
"Portland Trailblazers","Portland","POR"
"Sacramento Kings","Sacramento","SAC"
"San Antonio Spurs","San Antonio","SAS"
"Seattle Supersonics","Seattle","SEA"
"Toronto Raptors","Toronto","TOR"
"Utah Jazz","Utah","UTA"
"Washington Wizards","Washington","WAS"
